球员  国籍  年龄  身价（欧元）  所属俱乐部  位置 
雅各布·伊塔利亚诺 (Jacob Italiano)	澳大利亚	24岁	60万	格拉茨AK	后卫
哈里·苏塔 (Harry Souttar)	澳大利亚	27岁	350万	莱斯特城	后卫
凯·特里温 (Kai Trewin)	澳大利亚	24岁	100万	纽约城	后卫
卡梅伦·德夫林 (Cameron Devlin)	澳大利亚	27岁	200万	哈茨	中场
艾丁·赫鲁斯蒂奇 (Ajdin Hrustic)	澳大利亚	29岁	60万	阿尔梅罗大力神	中场
杰克逊·欧文 (Jackson Irvine)	澳大利亚	33岁	100万	圣保利	中场
康纳·梅特卡夫 (Connor Metcalfe)	澳大利亚	26岁	150万	圣保利	中场
艾登·奥尼尔 (Aiden O'Neill)	澳大利亚	27岁	300万	纽约城	中场
保罗·奥孔-恩斯特勒 (Paul Okon-Engstler)	澳大利亚	21岁	120万	悉尼FC	中场
内斯托里·伊兰昆达 (Nestory Irankunda)	澳大利亚	20岁	800万	沃特福德	前锋
马修·莱基 (Mathew Leckie)	澳大利亚	35岁	30万	墨尔本城	前锋
阿维·马比尔 (Awer Mabil)	澳大利亚	30岁	40万	卡斯迪隆	前锋
穆罕默德·图雷 (Mohamed Toure)	澳大利亚	21岁	290万	诺维奇	前锋
尼尚·韦卢皮莱 (Nishan Velupillay)	澳大利亚	25岁	65万	墨尔本胜利	前锋
克里斯蒂安·沃尔帕托 (Cristian Volpato)	澳大利亚	22岁	1000万	萨索洛	前锋
泰特·延吉 (Tate Yengi)	澳大利亚	24岁	25万	町田泽维亚	前锋
乌古尔坎·恰基尔 (Uğurcan Çakır)	土耳其	29岁	1500万	加拉塔萨雷	门将
阿勒泰·巴延德尔 (Altay Bayındır)	土耳其	28岁	700万	曼联	门将
默特·古诺克 (Mert Günok)	土耳其	37岁	50万	费内巴切	门将
瑟云聚 (Çağlar Söyüncü)	土耳其	30岁	350万	费内巴切	后卫
阿卜杜勒克里姆·巴尔达克彻 (Abdülkerim Bardakcı)	土耳其	31岁	650万	加拉塔萨雷	后卫
埃伦·埃尔马利 (Eren Elmalı)	土耳其	25岁	500万	加拉塔萨雷	后卫
费尔迪·卡迪奥卢 (Ferdi Kadıoğlu)	土耳其	26岁	3000万	布莱顿	后卫
德米拉尔 (Merih Demiral)	土耳其	28岁	1400万	吉达国民	后卫
默特·穆尔杜 (Mert Müldür)	土耳其	27岁	700万	费内巴切	后卫
卡巴克 (Ozan Kabak)	土耳其	26岁	1500万	霍芬海姆	后卫
泽基·切利克 (Zeki Çelik)	土耳其	29岁	1400万	罗马	后卫
萨梅特·阿卡丁 (Samet Akaydın)	土耳其	32岁	120万	里泽斯堡	后卫
恰尔汗奥卢 (Hakan Çalhanoğlu)	土耳其	32岁	1600万	国际米兰	中场
伊斯梅尔·尤克塞克 (İsmail Yüksek)	土耳其	27岁	1500万	费内巴切	中场
卡安·艾汗 (Kaan Ayhan)	土耳其	31岁	150万	加拉塔萨雷	中场
萨利赫·厄兹詹 (Salih Özcan)	土耳其	28岁	350万	多特蒙德	中场
奥尔昆·科克库 (Orkun Kökçü)	土耳其	25岁	2500万	贝西克塔斯	中场
居莱尔 (Arda Güler)	土耳其	21岁	9000万	皇家马德里	前锋
巴勒什·阿尔佩尔·伊尔马兹 (Barış Alper Yılmaz)	土耳其	26岁	3000万	加拉塔萨雷	前锋
乌尊 (Can Uzun)	土耳其	20岁	4500万	法兰克福	前锋
德尼兹·居尔 (Deniz Gül)	土耳其	21岁	500万	波尔图	前锋
伊尔凡·坎·卡赫韦奇 (İrfan Can Kahveci)	土耳其	30岁	300万	卡斯帕萨	前锋
凯南·伊尔迪兹 (Kenan Yıldız)	土耳其	21岁	7500万	尤文图斯	前锋
凯雷姆·阿克蒂尔克奥卢 (Kerem Aktürkoğlu)	土耳其	26岁	2000万	费内巴切	前锋
尤努斯·阿克金 (Yunus Akgün)	土耳其	25岁	1800万	加拉塔萨雷	前锋
奥古兹·艾丁 (Oğuz Aydın)	土耳其	25岁	700万	费内巴切	前锋
埃米利亚诺·马丁内斯 (Emiliano Martínez)	阿根廷	33岁	1500万	阿斯顿维拉	门将
赫罗尼莫·鲁利 (Gerónimo Rulli)	阿根廷	34岁	800万	马赛	门将
胡安·穆索 (Juan Musso)	阿根廷	32岁	300万	马德里竞技	门将
莱昂纳多·巴列尔迪 (Leonardo Balerdi)	阿根廷	27岁	1800万	马赛	后卫
尼古拉斯·塔利亚菲科 (Nicolás Tagliafico)	阿根廷	33岁	500万	里昂	后卫
冈萨洛·蒙铁尔 (Gonzalo Montiel)	阿根廷	29岁	450万	河床	后卫
利桑德罗·马丁内斯 (Lisandro Martínez)	阿根廷	28岁	4000万	曼联	后卫
克里斯蒂安·罗梅罗 (Cristian Romero)	阿根廷	28岁	5000万	托特纳姆热刺	后卫
尼古拉斯·奥塔门迪 (Nicolás Otamendi)	阿根廷	38岁	100万	本菲卡	后卫
法昆多·梅迪纳 (Facundo Medina)	阿根廷	27岁	1800万	马赛	后卫
纳韦尔·莫利纳 (Nahuel Molina)	阿根廷	28岁	1500万	马德里竞技	后卫
莱安德罗·帕雷德斯 (Leandro Paredes)	阿根廷	31岁	500万	博卡青年	中场
罗德里戈·德保罗 (Rodrigo De Paul)	阿根廷	32岁	1500万	迈阿密国际	中场
巴伦廷·巴尔科 (Valentín Barco)	阿根廷	21岁	3500万	斯特拉斯堡	中场
乔瓦尼·洛塞尔索 (Giovani Lo Celso)	阿根廷	30岁	1000万	皇家贝蒂斯	中场
埃塞基耶尔·帕拉西奥斯 (Exequiel Palacios)	阿根廷	27岁	2500万	勒沃库森	中场
亚历克西斯·麦卡利斯特 (Alexis Mac Allister)	阿根廷	27岁	8000万	利物浦	中场
恩佐·费尔南德斯 (Enzo Fernández)	阿根廷	25岁	9000万	切尔西	中场
胡利安·阿尔瓦雷斯 (Julián Álvarez)	阿根廷	26岁	9000万	马德里竞技	前锋
利昂内尔·梅西 (Lionel Messi)	阿根廷	38岁	1500万	迈阿密国际	前锋
尼古拉斯·冈萨雷斯 (Nicolás González)	阿根廷	28岁	2400万	马德里竞技	前锋
蒂亚戈·阿尔马达 (Thiago Almada)	阿根廷	25岁	2000万	马德里竞技	前锋
朱利亚诺·西蒙尼 (Giuliano Simeone)	阿根廷	23岁	4000万	马德里竞技	前锋
尼科·帕斯 (Nico Paz)	阿根廷	21岁	6500万	科莫	前锋
何塞·曼努埃尔·洛佩斯 (José Manuel López)	阿根廷	25岁	2500万	帕尔梅拉斯	前锋
劳塔罗·马丁内斯 (Lautaro Martínez)	阿根廷	28岁	8500万	国际米兰	前锋
卢卡·齐达内 (Luca Zidane)	阿尔及利亚	28岁	100万	格拉纳达	门将
乌萨马·本博特 (Oussama Benbot)	阿尔及利亚	27岁	85万	USM阿尔及尔	门将
梅尔文·马斯蒂尔 (Melvin Mastil)	阿尔及利亚	26岁	25万	洛桑	门将
拉菲克·贝尔加利 (Rafik Belghali)	阿尔及利亚	24岁	700万	维罗纳	后卫
萨米尔·切尔吉 (Samir Chergui)	阿尔及利亚	25岁	300万	巴黎FC	后卫
拉扬·艾特-努里 (Rayan Aït-Nouri)	阿尔及利亚	24岁	4000万	曼城	后卫
贾万·哈贾姆 (Jaouen Hadjam)	阿尔及利亚	23岁	800万	年轻人	后卫
艾萨·曼迪 (Aïssa Mandi)	阿尔及利亚	34岁	100万	里尔	后卫
拉米·本塞拜尼 (Ramy Bensebaïni)	阿尔及利亚	31岁	700万	多特蒙德	后卫
齐内丁·贝莱德 (Zineddine Belaïd)	阿尔及利亚	27岁	150万	USM阿尔及尔	后卫
阿什拉夫·阿巴达 (Achref Abada)	阿尔及利亚	24岁	100万	ASO车拉幅	后卫
穆罕默德·阿明·图盖 (Mohamed Tougai)	阿尔及利亚	26岁	130万	突尼斯希望	后卫
侯塞姆·奥阿尔 (Houssem Aouar)	阿尔及利亚	28岁	800万	吉达联合	中场
纳比尔·本塔莱布 (Nabil Bentaleb)	阿尔及利亚	31岁	500万	里尔	中场
希沙姆·布达维 (Hicham Boudaoui)	阿尔及利亚	26岁	1200万	尼斯	中场
法雷斯·柴比 (Farès Chaïbi)	阿尔及利亚	23岁	1500万	法兰克福	中场
易卜拉欣·马扎 (Ibrahim Maza)	阿尔及利亚	20岁	4500万	勒沃库森	中场
亚辛·蒂特拉维 (Yacine Titraoui)	阿尔及利亚	22岁	700万	巴拉特	中场
拉米兹·泽鲁基 (Ramiz Zerrouki)	阿尔及利亚	28岁	650万	特温特	中场
里亚德·马赫雷斯 (Riyad Mahrez)	阿尔及利亚	35岁	700万	吉达国民	前锋
穆罕默德·阿穆拉 (Mohamed Amoura)	阿尔及利亚	25岁	2000万	沃尔夫斯堡	前锋
纳迪尔·本布阿里 (Nadir Benbouali)	阿尔及利亚	24岁	120万	吉奥里	前锋
阿迪尔·布尔比纳 (Adil Boulbina)	阿尔及利亚	25岁	300万	杜海勒	前锋
法雷斯·盖杰米斯 (Farès Ghedjemis)	阿尔及利亚	24岁	550万	弗洛西诺内	前锋
阿米内·古里 (Amine Gouiri)	阿尔及利亚	26岁	2800万	马赛	前锋
阿尼斯·哈吉·穆萨 (Anis Hadj Moussa)	阿尔及利亚	24岁	2300万	费耶诺德	前锋
亚历山大·施拉格 (Alexander Schlager)	奥地利	29岁	250万	萨尔茨堡红牛	门将
弗洛里安·维格勒 (Florian Wiegele)	奥地利	27岁	180万	比尔森胜利	门将
帕特里克·彭茨 (Patrick Pentz)	奥地利	29岁	220万	布隆德比	门将
大卫·阿芬格鲁伯 (David Affengruber)	奥地利	25岁	900万	埃尔切	后卫
凯文·丹索 (Kevin Danso)	奥地利	27岁	2000万	托特纳姆热刺	后卫
斯特凡·波施 (Stefan Posch)	奥地利	29岁	550万	美因茨	后卫
大卫·阿拉巴 (David Alaba)	奥地利	34岁	350万	皇家马德里	后卫
菲利普·林哈特 (Philipp Lienhart)	奥地利	29岁	1200万	弗赖堡	后卫
菲利普·姆维尼 (Phillipp Mwene)	奥地利	32岁	150万	美因茨	后卫
亚历山大·普拉斯 (Alexander Prass)	奥地利	25岁	700万	霍芬海姆	后卫
马尔科·弗里德尔 (Marco Friedl)	奥地利	28岁	1200万	云达不来梅	后卫
泽弗尔·施拉格 (Xaver Schlager)	奥地利	28岁	1000万	RB莱比锡	中场
尼古拉斯·塞沃尔德 (Nicolas Seiwald)	奥地利	25岁	2200万	RB莱比锡	中场
马塞尔·萨比策 (Marcel Sabitzer)	奥地利	32岁	700万	多特蒙德	中场
弗洛里安·格里利奇 (Florian Grillitsch)	奥地利	30岁	200万	布拉加	中场
卡尔尼·丘库埃梅卡 (Carney Chukwuemeka)	奥地利	22岁	2000万	多特蒙德	中场
罗马诺·施密德 (Romano Schmid)	奥地利	26岁	1500万	云达不来梅	中场
克里斯托弗·鲍姆加特纳 (Christoph Baumgartner)	奥地利	26岁	3000万	RB莱比锡	中场
康拉德·莱默尔 (Konrad Laimer)	奥地利	29岁	3200万	拜仁慕尼黑	中场
帕特里克·维默尔 (Patrick Wimmer)	奥地利	25岁	1500万	沃尔夫斯堡	中场
保罗·万纳尔 (Paul Wanner)	奥地利	20岁	1800万	埃因霍温	中场
米夏埃尔·斯沃博达 (Michael Svoboda)	奥地利	27岁	300万	威尼斯	中场
亚历山德罗·舍普夫 (Alessandro Schöpf)	奥地利	32岁	90万	沃尔夫斯贝格	中场
马尔科·阿瑙托维奇 (Marko Arnautović)	奥地利	37岁	250万	贝尔格莱德红星	前锋
米歇尔·格雷戈里施 (Michael Gregoritsch)	奥地利	32岁	150万	奥格斯堡	前锋
萨萨·卡拉季奇 (Saša Kalajdžić)	奥地利	28岁	200万	林茨	前锋
亚齐德·阿布·莱拉 (Yazid Abu Laila)	约旦	33岁	30万	侯赛因	门将
阿卜杜拉·法霍里 (Abdallah Al Fakhouri)	约旦	23岁	25万	安曼团结	门将
努尔·巴尼·阿泰耶 (Noor Bani Attiah)	约旦	25岁	25万	费萨里	门将
穆罕默德·阿布·哈什 (Mohammad Abu Hashish)	约旦	25岁	45万	扎胡	后卫
阿卜杜拉·纳西布 (Abdullah Nasib)	约旦	32岁	50万	扎乌拉	后卫
胡萨姆·阿布·达哈卜 (Husam Abu Dahab)	约旦	28岁	35万	费萨里	后卫
亚赞·阿拉伯 (Yazan Al-Arab)	约旦	30岁	100万	首尔FC	后卫
穆罕默德·阿布·纳迪 (Mohammad Abualnadi)	约旦	28岁	22.5万	雪兰莪	后卫
萨利姆·奥贝德 (Salim Obeid)	约旦	27岁	10万	侯赛因	后卫
赛义德·罗桑 (Saed Al Rosan)	约旦	26岁	40万	侯赛因	后卫
伊赫桑·哈达迪 (Ehsan Haddad)	约旦	32岁	35万	侯赛因	后卫
阿纳斯·巴达维 (Anas Badawi)	约旦	26岁	17.5万	费萨里	后卫
穆罕纳德·阿布·塔哈 (Muhannad Abu Taha)	约旦	26岁	45万	安曼团结	后卫
阿米尔·贾穆斯 (Amer Jamous)	约旦	28岁	45万	扎乌拉	中场
努尔·拉瓦比德 (Noor Al-Rawabdeh)	约旦	29岁	45万	雪兰莪	中场
拉贾伊·阿耶德 (Rajaei Ayed)	约旦	32岁	35万	侯赛因	中场
易卜拉欣·萨德 (Ibrahim Saadeh)	约旦	25岁	40万	扎胡	中场
纳扎尔·拉什丹 (Nizar Al-Rashdan)	约旦	26岁	60万	卡塔尔SC	中场
穆罕默德·达乌德 (Mohammad Daoud)	约旦	24岁	15万	安曼团结	中场
穆罕默德·阿布·兹雷克 (Mohammad Abu Zraiq)	约旦	27岁	37.5万	拉加竞技	前锋
阿里·奥尔万 (Ali Olwan)	约旦	26岁	80万	赛利亚	前锋
穆萨·塔马里 (Mousa Al-Tamari)	约旦	29岁	1000万	雷恩	前锋
奥德·法胡里 (Odeh Al Fakhouri)	约旦	28岁	35万	金字塔	前锋
马哈茂德·马尔迪 (Mahmoud Al Mardi)	约旦	26岁	40万	侯赛因	前锋
阿里·阿扎伊泽 (Ali Azaizeh)	约旦	25岁	20万	利雅得青年	前锋
易卜拉欣·萨布拉 (Ibrahim Sabra)	约旦	20岁	50万	萨格勒布火车头	前锋
迪奥戈·科斯塔 (Diogo Costa)	葡萄牙	26岁	4000万	波尔图	门将
若泽·萨 (José Sá)	葡萄牙	33岁	500万	狼队	门将
鲁伊·席尔瓦 (Rui Silva)	葡萄牙	32岁	700万	葡萄牙体育	门将
迪奥戈·达洛特 (Diogo Dalot)	葡萄牙	27岁	3000万	曼联	后卫
马特乌斯·努内斯 (Matheus Nunes)	葡萄牙	27岁	4500万	曼城	后卫
塞梅多 (Nélson Semedo)	葡萄牙	32岁	700万	费内巴切	后卫
若昂·坎塞洛 (João Cancelo)	葡萄牙	32岁	900万	巴塞罗那	后卫
努诺·门德斯 (Nuno Mendes)	葡萄牙	23岁	7500万	巴黎圣日耳曼	后卫
贡萨洛·伊纳西奥 (Gonçalo Inácio)	葡萄牙	24岁	4000万	葡萄牙体育	后卫
雷纳托·韦加 (Renato Veiga)	葡萄牙	22岁	2500万	比利亚雷亚尔	后卫
鲁本·迪亚斯 (Rúben Dias)	葡萄牙	29岁	6000万	曼城	后卫
托马斯·阿劳若 (Tomás Araújo)	葡萄牙	24岁	2800万	本菲卡	后卫
鲁本·内维斯 (Rúben Neves)	葡萄牙	29岁	2500万	利雅得新月	中场
萨穆·科斯塔 (Samú Costa)	葡萄牙	25岁	1500万	马略卡	中场
若昂·内维斯 (João Neves)	葡萄牙	21岁	1.1亿	巴黎圣日耳曼	中场
维蒂尼亚 (Vitinha)	葡萄牙	26岁	1.1亿	巴黎圣日耳曼	中场
布鲁诺·费尔南德斯 (Bruno Fernandes)	葡萄牙	31岁	4000万	曼联	中场
贝尔纳多·席尔瓦 (Bernardo Silva)	葡萄牙	31岁	2700万	曼城	中场
若昂·菲利克斯 (João Félix)	葡萄牙	26岁	2500万	利雅得胜利	前锋
特林康 (Francisco Trincão)	葡萄牙	26岁	3500万	葡萄牙体育	前锋
弗朗西斯科·孔塞桑 (Francisco Conceição)	葡萄牙	23岁	3000万	尤文图斯	前锋
佩德罗·内托 (Pedro Neto)	葡萄牙	26岁	6000万	切尔西	前锋
拉斐尔·莱奥 (Rafael Leão)	葡萄牙	27岁	6500万	AC米兰	前锋
贡萨洛·格德斯 (Gonçalo Guedes)	葡萄牙	29岁	600万	皇家社会	前锋
贡萨洛·拉莫斯 (Gonçalo Ramos)	葡萄牙	24岁	3500万	巴黎圣日耳曼	前锋
克里斯蒂亚诺·罗纳尔多 (Cristiano Ronaldo)	葡萄牙	41岁	1200万	利雅得胜利	前锋
蒂莫西·法尤卢 (Timothy Fayulu)	民主刚果	26岁	130万	FC诺亚	门将
莱昂内尔·姆帕西 (Lionel Mpasi)	民主刚果	31岁	40万	勒阿弗尔	门将
迈克·埃波洛 (Mike Epolo)	民主刚果	20岁	1050万	标准列日	门将
万-比萨卡 (Aaron Wan-Bissaka)	民主刚果	28岁	1500万	西汉姆联	后卫
热代翁·卡卢卢 (Gédéon Kalulu)	民主刚果	28岁	400万	艾里斯利马索尔	后卫
卡延贝 (Elias Kalyembe)	民主刚果	31岁	48万	亨克	后卫
马苏亚库 (Arthur Masuaku)	民主刚果	32岁	250万	朗斯	后卫
卡普阿迪 (Gianni Kapuadi)	民主刚果	27岁	300万	维德祖罗兹	后卫
布希里 (Emmanuel Biumla)	民主刚果	20岁	300万	昂热	后卫
图安泽贝 (Axel Tuanzebe)	民主刚果	28岁	490万	伯恩利	后卫
尚塞尔·姆本巴 (Chancel Mbemba)	民主刚果	31岁	250万	里尔	后卫
巴图宾西卡 (Jonathan Bumbu)	民主刚果	26岁	15万	拉里萨	后卫
诺亚·萨迪基 (Noah Sadiki)	民主刚果	21岁	3500万	桑德兰	中场
萨穆勒·穆图萨米 (Samuel Moutoussamy)	民主刚果	29岁	280万	阿特罗米托斯	中场
埃多·卡亚比 (Edo Kayembe)	民主刚果	27岁	330万	沃特福德	中场
穆考 (Youssouf M'Changama)	民主刚果	35岁	30万	阿尔巴廷	中场
皮克尔 (William Pikel)	民主刚果	—	—	西班牙人	中场
姆布库 (Jean-Emmanuel Mboula)	民主刚果	—	—	蒙彼利埃	中场
齐本加 (Nzinga Buingo)	民主刚果	—	—	卡斯迪隆	中场
邦贡达 (Théo Bongonda)	民主刚果	30岁	400万	莫斯科斯巴达	中场
加库尔·卡库塔 (Gael Kakuta)	民主刚果	34岁	30万	拉里萨	中场
伊利亚 (Gianni Ilias)	民主刚果	—	—	阿拉尼亚体育	前锋
梅耶尔 (Jonathan Mayer)	民主刚果	—	—	金字塔	前锋
巴坎布 (Cédric Bakambu)	民主刚果	34岁	150万	皇家贝蒂斯	前锋
西蒙·班扎 (Simon Banza)	民主刚果	29岁	1100万	阿尔贾兹拉	前锋
维萨 (Yoane Wissa)	民主刚果	29岁	2500万	纽卡斯尔联	前锋
乌特基尔·尤苏波夫 (Utkir Yusupov)	乌兹别克斯坦	35岁	50万	纳曼干新春	门将
博蒂拉利·埃尔加舍夫 (Botirali Ergashev)	乌兹别克斯坦	27岁	50万	费尔干纳油工	门将
阿卜杜沃希德·内马托夫 (Abduvohid Nematov)	乌兹别克斯坦	25岁	150万	纳萨夫	门将
阿布杜卡迪尔·胡桑诺夫 (Abdukodir Khusanov)	乌兹别克斯坦	22岁	3500万	曼城	后卫
乌罗佐夫 (Jasurbek Urozov)	乌兹别克斯坦	—	60万	埃尤普体育	后卫
乌尔马萨利耶夫 (Mukhammadali Urmasaliyev)	乌兹别克斯坦	—	50万	阿尔马雷克	后卫
法鲁克·萨菲耶夫 (Farrukh Safiev)	乌兹别克斯坦	—	22.5万	费尔干纳油工	后卫
谢尔佐德·纳斯鲁拉耶夫 (Sherzod Nasrullaev)	乌兹别克斯坦	28岁	120万	塔什干棉农	后卫
卡里莫夫 (Bekzod Karimov)	乌兹别克斯坦	—	35万	特尔梅兹	后卫
埃什穆罗多夫 (Islom Eshmurodov)	乌兹别克斯坦	—	45万	纳萨夫	后卫
拉斯塔马乔·阿舒马托夫 (Rustam Ashurmatov)	乌兹别克斯坦	29岁	75万	德黑兰独立	后卫
阿里扎诺夫 (Khojiakbar Alidzhanov)	乌兹别克斯坦	29岁	130万	塔什干棉农	后卫
阿卜杜拉·阿卜杜拉耶夫 (Abdulla Abdullaev)	乌兹别克斯坦	—	50万	迪巴SCC	后卫
奥塔别克·舒库罗夫 (Otabek Shukurov)	乌兹别克斯坦	29岁	150万	班尼亚斯	中场
阿克马尔·莫兹戈沃伊 (Akmal Mozgovoy)	乌兹别克斯坦	26岁	140万	纳萨夫	中场
贾姆希德·伊斯坎德罗夫 (Jamshid Iskanderov)	乌兹别克斯坦	32岁	100万	费尔干纳油工	中场
奥迪尔·坎罗布科夫 (Odil Kamolov)	乌兹别克斯坦	—	100万	大不里士拖拉机	中场
阿齐兹·加尼耶夫 (Aziz Ganiev)	乌兹别克斯坦	28岁	200万	巴塔	中场
谢尔佐德·埃萨诺夫 (Sherzod Esanov)	乌兹别克斯坦	—	45万	布哈拉	中场
阿博斯别克·法伊祖拉耶夫 (Abbosbek Fayzullaev)	乌兹别克斯坦	22岁	700万	RAMS巴萨克赛尔	中场
奥斯通·乌鲁诺夫 (Oston Urunov)	乌兹别克斯坦	25岁	200万	波斯波利斯	前锋
埃尔多尔·肖穆罗多夫 (Eldor Shomurodov)	乌兹别克斯坦	30岁	700万	RAMS巴萨克赛尔	前锋
伊戈尔·谢尔盖耶夫 (Igor Sergeev)	乌兹别克斯坦	33岁	120万	波斯波利斯	前锋
贾洛利丁·马沙里波夫 (Jaloliddin Masharipov)	乌兹别克斯坦	32岁	100万	德黑兰独立	前锋
多斯顿别克·哈姆达莫夫 (Dostonbek Khamdamov)	乌兹别克斯坦	29岁	90万	塔什干棉农	前锋
阿齐兹别克·阿莫诺夫 (Azizbek Amonov)	乌兹别克斯坦	—	50万	萨马尔罕迪纳摩	前锋
阿尔瓦罗·蒙特罗 (Álvaro Montero)	哥伦比亚	31岁	250万	萨斯菲尔德	门将
卡米洛·巴尔加斯 (Camilo Vargas)	哥伦比亚	37岁	45万	阿特拉斯	门将
戴维·奥斯皮纳 (David Ospina)	哥伦比亚	37岁	25万	国民竞技	门将
丹尼尔·穆尼奥斯 (Daniel Muñoz)	哥伦比亚	30岁	2700万	水晶宫	后卫
约翰·卢库米 (Jhon Lucumí)	哥伦比亚	27岁	2500万	博洛尼亚	后卫
达文森·桑切斯 (Dávinson Sánchez)	哥伦比亚	29岁	1600万	加拉塔萨雷	后卫
威勒·迪塔 (Willer Ditta)	哥伦比亚	29岁	550万	蓝十字	后卫
耶里·米纳 (Yerry Mina)	哥伦比亚	31岁	300万	卡利亚里	后卫
德伊弗·马查多 (Deiver Machado)	哥伦比亚	32岁	200万	南特	后卫
约翰·莫西卡 (Johan Mojica)	哥伦比亚	33岁	180万	马略卡	后卫
圣地亚哥·阿里亚斯 (Santiago Arias)	哥伦比亚	34岁	120万	阿根廷独立	后卫
里奥斯 (Richard Ríos)	哥伦比亚	25岁	2200万	本菲卡	中场
约翰·阿里亚斯 (Jhon Arias)	哥伦比亚	28岁	1500万	帕尔梅拉斯	中场
卡拉斯卡尔 (Jorge Carrascal)	哥伦比亚	27岁	1100万	弗拉门戈	中场
莱尔马 (Jefferson Lerma)	哥伦比亚	31岁	800万	水晶宫	中场
卡斯塔尼奥 (Kevin Castaño)	哥伦比亚	25岁	500万	河床	中场
古斯塔沃·普埃塔 (Gustavo Puerta)	哥伦比亚	22岁	500万	桑坦德竞技	中场
波尔蒂利亚 (Jhon Portilla)	哥伦比亚	27岁	330万	巴拉纳竞技	中场
哈梅斯·罗德里格斯 (James Rodríguez)	哥伦比亚	34岁	200万	明尼苏达联	中场
胡安·金特罗 (Juan Quintero)	哥伦比亚	33岁	180万	河床	中场
路易斯·迪亚斯 (Luis Díaz)	哥伦比亚	29岁	7000万	拜仁慕尼黑	前锋
路易斯·苏亚雷斯 (Luis Suárez)	哥伦比亚	26岁	2800万	葡萄牙体育	前锋
库乔·埃尔南德斯 (Cucho Hernández)	哥伦比亚	27岁	1800万	皇家贝蒂斯	前锋
约翰·科尔多瓦 (Jhon Córdoba)	哥伦比亚	33岁	1000万	克拉斯诺达尔	前锋
安德烈斯·戈麦斯 (Andrés Gómez)	哥伦比亚	23岁	800万	瓦斯科达伽马	前锋
坎帕兹 (Johan Campaz)	哥伦比亚	25岁	900万	罗萨里奥中央	前锋
乔丹·皮克福德 (Jordan Pickford)	英格兰	32岁	2000万	埃弗顿	门将
迪恩·亨德森 (Dean Henderson)	英格兰	29岁	1200万	水晶宫	门将
詹姆斯·特拉福德 (James Trafford)	英格兰	23岁	1800万	曼城	门将
里斯·詹姆斯 (Reece James)	英格兰	26岁	3500万	切尔西	后卫
蒂诺·利夫拉门托 (Tino Livramento)	英格兰	23岁	2800万	纽卡斯尔联	后卫
马克·格伊 (Marc Guéhi)	英格兰	25岁	3800万	水晶宫	后卫
埃兹里·孔萨 (Ezri Konsa)	英格兰	28岁	2500万	阿斯顿维拉	后卫
约翰·斯通斯 (John Stones)	英格兰	32岁	2000万	曼城	后卫
贾雷尔·宽萨 (Jarell Quansah)	英格兰	23岁	2200万	利物浦	后卫
尼科·奥赖利 (Nico O'Reilly)	英格兰	21岁	1500万	曼城	后卫
丹·伯恩 (Dan Burn)	英格兰	34岁	400万	纽卡斯尔联	后卫
杰德·斯彭斯 (Djed Spence)	英格兰	25岁	1500万	热刺	后卫
德克兰·赖斯 (Declan Rice)	英格兰	27岁	1.2亿	阿森纳	中场
埃利奥特·安德森 (Elliot Anderson)	英格兰	23岁	3000万	诺丁汉森林	中场
裘德·贝林厄姆 (Jude Bellingham)	英格兰	22岁	1.3亿	皇家马德里	中场
乔丹·亨德森 (Jordan Henderson)	英格兰	35岁	400万	阿贾克斯	中场
摩根·罗杰斯 (Morgan Rogers)	英格兰	23岁	4000万	阿斯顿维拉	中场
科比·梅努 (Kobbie Mainoo)	英格兰	21岁	5000万	曼联	中场
埃贝雷奇·埃泽 (Eberechi Eze)	英格兰	27岁	3500万	水晶宫	中场
哈里·凯恩 (Harry Kane)	英格兰	32岁	4500万	拜仁慕尼黑	前锋
伊万·托尼 (Ivan Toney)	英格兰	30岁	3500万	吉达国民	前锋
奥利·沃特金斯 (Ollie Watkins)	英格兰	30岁	4000万	阿斯顿维拉	前锋
布卡约·萨卡 (Bukayo Saka)	英格兰	24岁	1.1亿	阿森纳	前锋
诺尼·马杜埃凯 (Noni Madueke)	英格兰	24岁	3500万	切尔西	前锋
马库斯·拉什福德 (Marcus Rashford)	英格兰	28岁	4000万	阿斯顿维拉	前锋
安东尼·戈登 (Anthony Gordon)	英格兰	25岁	4500万	纽卡斯尔联	前锋
多米尼克·利瓦科维奇 (Dominik Livaković)	克罗地亚	31岁	400万	萨格勒布迪纳摩	门将
多米尼克·科塔尔斯基 (Dominik Kotarski)	克罗地亚	26岁	600万	哥本哈根	门将
伊沃·潘杜尔 (Ivor Pandur)	克罗地亚	26岁	350万	赫尔城	门将
约什科·格瓦迪奥尔 (Joško Gvardiol)	克罗地亚	24岁	7000万	曼城	后卫
杜耶·卡莱塔-卡尔 (Duje Ćaleta-Car)	克罗地亚	29岁	300万	皇家社会	后卫
约瑟普·舒塔洛 (Josip Šutalo)	克罗地亚	26岁	1500万	阿贾克斯	后卫
约瑟普·斯塔尼希奇 (Josip Stanišić)	克罗地亚	26岁	3500万	拜仁慕尼黑	后卫
马林·庞格拉契奇 (Marin Pongračić)	克罗地亚	28岁	750万	佛罗伦萨	后卫
马丁·埃尔利奇 (Martin Erlić)	克罗地亚	28岁	400万	中日德兰	后卫
卢卡·武什科维奇 (Luka Vušković)	克罗地亚	19岁	6000万	汉堡	后卫
