### 墨西哥队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| 前锋 | 亚历山大·伊萨克 (Alexander Isak) | 利物浦 | **56** |
| 前锋 | 维克托·约克雷斯 (Viktor Gyökeres) | 阿森纳 | **32** |
| 前锋 | 肯·塞马 (Ken Sema) | 帕福斯 | **32** |
| 前锋 | 本亚明·尼格伦 (Benjamin Nygren) | 凯尔特人 | **9** |
| 前锋 | 亚历山大·伯恩哈德松 (Alexander Bernhardsson) | 荷尔斯泰因基尔 | **9** |
| 前锋 | 古斯塔夫·尼尔松 (Gustaf Nilsson) | 布鲁日 | **8** |
| 前锋 | 塔哈·阿里 (Taha Ali) | 马尔默 | **1** |
---
### 🇹🇳 突尼斯队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 艾曼·达赫曼 (Aymen Dahmen) | CS斯法克斯 | 数据待核实 |
| 门将 | 萨布里·本·赫森 (Sabri Ben Hessen) | 萨赫勒之星 | 数据待核实 |
| 门将 | 穆希卜·沙马克 (Mouhib Chamakh) | 非洲人俱乐部 | 数据待核实 |
| 后卫 | 蒙塔萨尔·塔尔比 (Montassar Talbi) | 洛里昂 | 数据待核实 |
| 后卫 | 迪伦·布龙 (Dylan Bronn) | 塞尔维特 | 数据待核实 |
| 后卫 | 阿里·阿卜迪 (Ali Abdi) | 尼斯 | 数据待核实 |
| 后卫 | 扬·瓦莱里 (Yan Valery) | 伯尔尼年轻人 | 数据待核实 |
| 后卫 | 穆罕默德·阿明·本·哈米达 (Mohamed Amine Ben Hamida) | 突尼斯希望 | 数据待核实 |
| 后卫 | 穆塔兹·内法蒂 (Moutaz Neffati) | 北雪平 | 数据待核实 |
| 后卫 | 奥马尔·雷基克 (Omar Rekik) | 马里博尔 | 数据待核实 |
| 后卫 | 阿德姆·阿鲁斯 (Adem Arous) | 卡森帕沙 | 数据待核实 |
| 后卫 | 拉埃德·奇克哈维 (Raed Chikhaoui) | US莫纳斯蒂尔 | 数据待核实 |
| 中场 | 埃利耶斯·斯希里 (Ellyes Skhiri) | 法兰克福 | 数据待核实 |
| 中场 | 汉尼拔·梅布里 (Hannibal Mejbri) | 伯恩利 | 数据待核实 |
| 中场 | 阿尼斯·本·斯利马内 (Anis Ben Slimane) | 诺维奇城 | 数据待核实 |
| 中场 | 哈吉·马哈茂德 (Hadj Mahmoud) | 卢加诺 | 数据待核实 |
| 中场 | 拉尼·赫迪拉 (Rani Khedira) | 柏林联合 | 数据待核实 |
| 前锋 | 埃利亚斯·阿舒里 (Elias Achouri) | 哥本哈根 | 数据待核实 |
| 前锋 | 菲拉斯·沙瓦特 (Firas Chaouat) | 非洲人俱乐部 | 数据待核实 |
| 前锋 | 哈泽姆·马斯图里 (Hazem Mastouri) | 马哈奇卡拉迪纳摩 | 数据待核实 |
| 前锋 | 莫尔塔达·本·瓦内斯 (Mortadha Ben Ouanes) | 卡森帕沙 | 数据待核实 |
| 前锋 | 伊斯梅尔·加尔比 (Ismael Gharbi) | 奥格斯堡 | 数据待核实 |
| 前锋 | 埃利亚斯·萨阿德 (Elias Saad) | 汉诺威96 | 数据待核实 |
| 前锋 | 塞巴斯蒂安·图内克蒂 (Sebastian Tounekti) | 凯尔特人 | 数据待核实 |
| 前锋 | 哈利勒·阿亚里 (Khalil Ayari) | 巴黎圣日耳曼 | 数据待核实 |
| 前锋 | 拉扬·埃卢米 (Rayan Elloumi) | 温哥华白浪 | 数据待核实 |
---
### 🇧🇪 比利时队
比利时队名单及出场次数来源于Squawka及Sporting News。
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 蒂博·库尔图瓦 (Thibaut Courtois) | 皇家马德里 | **107** |
| 门将 | 塞内·拉门斯 (Senne Lammens) | 曼联 | 2 |
| 门将 | 迈克·彭德斯 (Mike Penders) | 斯特拉斯堡 | 0 |
| 后卫 | 托马斯·默尼耶 (Thomas Meunier) | 里尔 | **78** |
| 后卫 | 蒂莫西·卡斯塔涅 (Timothy Castagne) | 富勒姆 | 62 |
| 后卫 | 阿瑟·泰特 (Arthur Theate) | 法兰克福 | 32 |
| 后卫 | 泽诺·德巴斯特 (Zeno Debast) | 葡萄牙体育 | 26 |
| 后卫 | 马克西姆·德屈佩 (Maxim De Cuyper) | 布莱顿 | 17 |
| 后卫 | 布兰东·梅赫勒 (Brandon Mechele) | 布鲁日 | 7 |
| 后卫 | 科尼·德温特 (Koni De Winter) | AC米兰 | 7 |
| 后卫 | 华金·塞伊斯 (Joaquin Seys) | 布鲁日 | 4 |
| 后卫 | 内森·恩戈伊 (Nathan Ngoy) | 里尔 | 2 |
| 中场 | 阿克塞尔·维特塞尔 (Axel Witsel) | 赫罗纳 | **136** |
| 中场 | 罗梅卢·卢卡库 (Romelu Lukaku) | 那不勒斯 | **124** |
| 中场 | 凯文·德布劳内 (Kevin De Bruyne) | 那不勒斯 | **117** |
| 中场 | 尤里·蒂勒曼斯 (Youri Tielemans) | 阿斯顿维拉 | 83 |
| 中场 | 汉斯·瓦纳肯 (Hans Vanaken) | 布鲁日 | 32 |
| 中场 | 夏尔·德凯特拉雷 (Charles De Ketelaere) | 亚特兰大 | 28 |
| 中场 | 阿马杜·奥纳纳 (Amadou Onana) | 阿斯顿维拉 | 27 |
| 中场 | 尼古拉·拉斯金 (Nicolas Raskin) | 流浪者 | 11 |
| 中场 | 迭戈·莫雷拉 (Diego Moreira) | 斯特拉斯堡 | 2 |
| 前锋 | 莱安德罗·特罗萨德 (Leandro Trossard) | 阿森纳 | 50 |
| 前锋 | 杰里米·多库 (Jeremy Doku) | 曼城 | 41 |
| 前锋 | 多迪·卢克巴吉奥 (Dodi Lukebakio) | 本菲卡 | 29 |
| 前锋 | 亚历克西斯·萨勒马克尔斯 (Alexis Saelemaekers) | AC米兰 | 23 |
| 前锋 | 马蒂亚斯·费尔南德斯-帕尔多 (Matias Fernandez-Pardo) | 里尔 | 0 |
---
### 🇪🇬 埃及队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 穆罕默德·希纳维 (Mohamed El Shenawy) | 开罗国民 | 77 |
| 门将 | 穆斯塔法·舒贝尔 (Mostafa Shobeir) | 开罗国民 | 10 |
| 门将 | 马赫迪·苏莱曼 (El Mahdy Soliman) | 扎马雷克 | 0 |
| 门将 | 穆罕默德·阿拉 (Mohamed Alaa) | 古纳 | 0 |
| 后卫 | 拉米·拉比亚 (Ramy Rabia) | 艾因 | 47 |
| 后卫 | 穆罕默德·哈尼 (Mohamed Hany) | 开罗国民 | 43 |
| 后卫 | 艾哈迈德·法图赫 (Ahmed Fatouh) | 扎马雷克 | 39 |
| 后卫 | 穆罕默德·阿卜杜勒穆奈姆 (Mohamed Abdelmonem) | 尼斯 | 36 |
| 后卫 | 亚西尔·易卜拉欣 (Yasser Ibrahim) | 开罗国民 | 18 |
| 后卫 | 胡萨姆·阿卜杜勒马吉德 (Hossam Abdelmaguid) | 扎马雷克 | 13 |
| 后卫 | 卡里姆·哈菲兹 (Karim Hafez) | 金字塔 | 9 |
| 后卫 | 塔雷克·阿拉 (Tarek Alaa) | ZED | 3 |
| 中场 | 哈姆迪·法特希 (Hamdy Fathy) | 沃克拉 | 64 |
| 中场 | 穆斯塔法·济科 (Mostafa Ziko) | 金字塔 | 2 |
| 中场 | 伊马姆·阿舒尔 (Emam Ashour) | 开罗国民 | 29 |
| 中场 | 穆哈纳德·拉申 (Mohanad Lasheen) | 金字塔 | 23 |
| 中场 | 马哈茂德·萨贝尔 (Mahmoud Saber) | ZED | 15 |
| 中场 | 纳比勒·伊马德 (Nabil Emad/Donga) | 纳杰马 | 12 |
| 中场 | 马尔万·阿提亚 (Marwan Attia) | 开罗国民 | 35 |
| 前锋 | 穆罕默德·萨拉赫 (Mohamed Salah, C) | 利物浦 | **116** |
| 前锋 | 特雷泽盖 (Trézéguet) | 开罗国民 | 96 |
| 前锋 | 奥马尔·马尔穆什 (Omar Marmoush) | 曼城 | 50 |
| 前锋 | 齐佐 (Zizo) | 开罗国民 | 64 |
| 前锋 | 易卜拉欣·阿德尔 (Ibrahim Adel) | 北西兰 | 24 |
| 前锋 | 海瑟姆·哈桑 (Haissem Hassan) | 皇家奥维耶多 | 4 |
| 前锋 | 哈姆扎·阿卜杜勒卡里姆 (Hamza Abdelkarim) | 巴塞罗那竞技 | 2 |
---
### 🇮🇷 伊朗队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 阿里雷扎·贝兰万德 (Alireza Beiranvand) | 拖拉机 | 86 |
| 门将 | 侯赛因·侯赛尼 (Hossein Hosseini) | 塞帕罕 | 13 |
| 门将 | 帕亚姆·尼亚兹曼德 (Payam Niazmand) | 波斯波利斯 | 13 |
| 后卫 | 埃赫桑·哈吉萨菲 (Ehsan Hajsafi) | 塞帕罕 | **145** |
| 后卫 | 阿利雷扎·贾汉巴赫什 (Alireza Jahanbakhsh) | 登德 | **98** |
| 后卫 | 米拉德·穆罕默迪 (Milad Mohammadi) | 波斯波利斯 | 75 |
| 后卫 | 拉明·雷扎扬 (Ramin Rezaeian) | 胡齐斯坦钢铁 | 73 |
| 后卫 | 侯赛因·卡纳尼 (Hossein Kanani) | 波斯波利斯 | 64 |
| 后卫 | 舒贾·哈利勒扎德 (Shoja Khalilzadeh) | 拖拉机 | 57 |
| 后卫 | 萨利赫·哈尔达尼 (Saleh Hardani) | 德黑兰独立 | 17 |
| 后卫 | 阿里·内马蒂 (Ali Nemati) | 胡齐斯坦钢铁 | 16 |
| 后卫 | 达尼亚尔·伊里 (Danial Iri) | 马兰万 | 0 |
| 中场 | 赛义德·埃扎托拉希 (Saeid Ezatolahi) | 沙巴布阿赫利 | 82 |
| 中场 | 萨曼·戈多斯 (Saman Ghoddos) | 卡尔巴 | 67 |
| 中场 | 迈赫迪·托拉比 (Mehdi Torabi) | 拖拉机 | 51 |
| 中场 | 鲁兹贝·切什米 (Rouzbéh Cheshmi) | 德黑兰独立 | 39 |
| 中场 | 穆罕默德·莫赫比 (Mohammad Mohebi) | 罗斯托夫 | 35 |
| 中场 | 迈赫迪·加耶迪 (Mehdi Ghayedi) | 纳斯尔 | 28 |
| 中场 | 穆罕默德·戈尔巴尼 (Mohammad Ghorbani) | 瓦赫达 | 15 |
| 中场 | 阿里亚·尤塞菲 (Aria Yousefi) | 塞帕罕 | 12 |
| 中场 | 阿米尔穆罕默德·拉扎吉尼亚 (Amirmohammad Razzaghinia) | 德黑兰独立 | 3 |
| 前锋 | 迈赫迪·塔雷米 (Mehdi Taremi) | 奥林匹亚科斯 | **104** |
| 前锋 | 阿里·阿利普尔 (Ali Alipour) | 波斯波利斯 | 14 |
| 前锋 | 阿米尔侯赛因·侯赛因扎德 (Amirhossein Hosseinzadeh) | 拖拉机 | 18 |
| 前锋 | 沙赫里亚尔·莫甘卢 (Shahriar Moghanlou) | 卡尔巴 | 19 |
| 前锋 | 丹尼斯·达尔加希 (Dennis Dargahi) | 标准列日 | 0 |
---
### 🇳🇿 新西兰队
新西兰队名单及出场次数来源于Sporting News及Friends of Football。
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 马克斯·克罗库姆 (Max Crocombe) | 米尔沃尔 | 22 |
| 门将 | 亚历克斯·保尔森 (Alex Paulsen) | 格但斯克莱吉亚 | 6 |
| 门将 | 迈克尔·伍德 (Michael Woud) | 奥克兰FC | 6 |
| 后卫 | 泰勒·宾登 (Tyler Bindon) | 诺丁汉森林 | 64 |
| 后卫 | 迈克尔·博克索尔 (Michael Boxall) | 明尼苏达联 | **61** |
| 后卫 | 汤米·史密斯 (Tommy Smith) | 布伦特里镇 | 56 |
| 后卫 | 蒂姆·佩恩 (Tim Payne) | 惠灵顿凤凰 | 50 |
| 后卫 | 南多·派纳克 (Nando Pijnaker) | 奥克兰FC | 23 |
| 后卫 | 弗朗西斯·德弗里斯 (Francis De Vries) | 奥克兰FC | 18 |
| 后卫 | 芬·瑟曼 (Finn Surman) | 波特兰伐木者 | 17 |
| 后卫 | 利贝拉托·卡卡切 (Liberato Cacace) | 雷克瑟姆 | 35 |
| 后卫 | 卡伦·埃利奥特 (Callan Elliot) | 奥克兰FC | 9 |
| 中场 | 马尔科·斯塔梅尼奇 (Marko Stamenic) | 斯旺西 | 37 |
| 中场 | 乔·贝尔 (Joe Bell) | 维京 | 31 |
| 中场 | 萨普里特·辛格 (Sarpreet Singh) | 惠灵顿凤凰 | 26 |
| 中场 | 瑞安·托马斯 (Ryan Thomas) | 兹沃勒 | 25 |
| 中场 | 亚历克斯·鲁弗 (Alex Rufer) | 惠灵顿凤凰 | 24 |
| 中场 | 本·奥尔德 (Ben Old) | 圣埃蒂安 | 22 |
| 中场 | 拉克伦·贝利斯 (Lachlan Bayliss) | 纽卡斯尔喷气机 | 2 |
| 前锋 | 克里斯·伍德 (Chris Wood, C) | 诺丁汉森林 | **88** |
| 前锋 | 科斯塔·巴尔巴鲁塞斯 (Kosta Barbarouses) | 西悉尼流浪者 | 74 |
| 前锋 | 埃利·贾斯特 (Eli Just) | 马瑟韦尔 | 42 |
| 前锋 | 马特·加贝特 (Matt Garbett) | 彼得伯勒联 | 36 |
| 前锋 | 卡勒姆·麦科瓦特 (Callum McCowatt) | 锡尔克堡 | 30 |
| 前锋 | 本·韦恩 (Ben Waine) | 维尔港 | 30 |
| 前锋 | 杰西·兰德尔 (Jesse Randall) | 奥克兰FC | 9 |
---
### 🇪🇸 西班牙队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 乌奈·西蒙 (Unai Simón) | 毕尔巴鄂竞技 | **57** |
| 门将 | 大卫·拉亚 (David Raya) | 阿森纳 | **12** |
| 门将 | 霍安·加西亚 (Joan García) | 巴塞罗那 | **1** |
| 后卫 | 马克·库库雷利亚 (Marc Cucurella) | 切尔西 | **23** |
| 后卫 | 亚历杭德罗·格里马尔多 (Alejandro Grimaldo) | 勒沃库森 | **12** |
| 后卫 | 保罗·库巴西 (Pau Cubarsí) | 巴塞罗那 | **11** |
| 后卫 | 艾梅里克·拉波尔特 (Aymeric Laporte) | 毕尔巴鄂竞技 | **44** |
| 后卫 | 埃里克·加西亚 (Eric García) | 巴塞罗那 | **19** |
| 后卫 | 马克·普维尔 (Marc Pubill) | 马德里竞技 | **0** |
| 后卫 | 马科斯·略伦特 (Marcos Llorente) | 马德里竞技 | **23** |
| 后卫 | 佩德罗·波罗 (Pedro Porro) | 托特纳姆热刺 | **16** |
| 中场 | 佩德里 (Pedri) | 巴塞罗那 | **40** |
| 中场 | 法维安·鲁伊斯 (Fabián Ruiz) | 巴黎圣日耳曼 | **41** |
| 中场 | 马丁·苏维门迪 (Martín Zubimendi) | 阿森纳 | **25** |
| 中场 | 加维 (Gavi) | 巴塞罗那 | **28** |
| 中场 | 罗德里 (Rodri) | 曼城 | **61** |
| 中场 | 巴埃纳 (Álex Baena) | 马德里竞技 | **15** |
| 中场 | 米克尔·梅里诺 (Mikel Merino) | 阿森纳 | 数据待核实 |
| 前锋 | 拉明·亚马尔 (Lamine Yamal) | 巴塞罗那 | **25** |
| 前锋 | 米克尔·奥亚萨瓦尔 (Mikel Oyarzabal) | 皇家社会 | **52** |
| 前锋 | 达尼·奥尔莫 (Dani Olmo) | 巴塞罗那 | **48** |
| 前锋 | 尼科·威廉斯 (Nico Williams) | 毕尔巴鄂竞技 | **30** |
| 前锋 | 耶雷米·皮诺 (Yeremy Pino) | 水晶宫 | **21** |
| 前锋 | 费兰·托雷斯 (Ferran Torres) | 巴塞罗那 | **55** |
| 前锋 | 博尔哈·伊格莱西亚斯 (Borja Iglesias) | 塞尔塔 | **6** |
| 前锋 | 维克托·穆尼奥斯 (Víctor Muñoz) | 奥萨苏纳 | **2** |
---
### 🇨🇻 佛得角队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 沃齐尼亚 (Vozinha) | 沙维斯 | **85** |
| 门将 | 马尔西奥·罗萨 (Márcio Rosa) | 蒙塔纳 | **10** |
| 门将 | C.J.·多斯桑托斯 (CJ dos Santos) | 圣迭戈FC | **0** |
| 后卫 | 斯托皮拉 (Stopira) | 托伦斯 | **60** |
| 后卫 | 罗伯托·洛佩斯 (Roberto Lopes) | 沙姆洛克流浪者 | **44** |
| 后卫 | 若昂·保罗 (João Paulo) | FCSB | **40** |
| 后卫 | 迪内伊 (Diney) | 阿尔巴塔赫 | **29** |
| 后卫 | 洛甘·科斯塔 (Logan Costa) | 比利亚雷亚尔 | **26** |
| 后卫 | 史蒂文·莫雷拉 (Steven Moreira) | 哥伦布机员 | **18** |
| 后卫 | 瓦格纳·皮纳 (Wagner Pina) | 特拉布宗体育 | **12** |
| 后卫 | 西德尼·洛佩斯·卡布拉尔 (Sidny Lopes Cabral) | 本菲卡 | **8** |
| 后卫 | 凯尔文·皮雷斯 (Kelvin Pires) | SJK | **4** |
| 中场 | 雅米罗·蒙泰罗 (Jamiro Monteiro) | PEC兹沃勒 | **53** |
| 中场 | 凯文·皮纳 (Kevin Pina) | 克拉斯诺达尔 | **30** |
| 中场 | 德罗伊·杜阿尔特 (Deroy Duarte) | 卢多戈雷茨 | **30** |
| 中场 | 特尔莫·阿尔卡尼奥 (Telmo Arcanjo) | 吉马良斯 | **14** |
| 中场 | 拉罗斯·杜阿尔特 (Laros Duarte) | 普斯卡什学院 | **12** |
| 中场 | 亚尼克·塞梅多 (Yannick Semedo) | 法伦斯 | **10** |
| 前锋 | 瑞安·门德斯 (Ryan Mendes, 队长) | 伊格迪尔 | **94** |
| 前锋 | 加里·罗德里格斯 (Garry Rodrigues) | 阿波罗利马索尔 | **59** |
| 前锋 | 威利·塞梅多 (Willy Semedo) | 奥莫尼亚 | **36** |
| 前锋 | 若瓦内·卡布拉尔 (Jovane Cabral) | 埃斯特雷拉阿马多拉 | **25** |
| 前锋 | 吉尔松·本希莫尔 (Gilson Benchimol) | 阿克伦托利亚蒂 | **21** |
| 前锋 | 代隆·利夫拉门托 (Dailon Livramento) | 卡萨皮亚 | **20** |
| 前锋 | 埃利奥·瓦雷拉 (Hélio Varela) | 特拉维夫马卡比 | **19** |
| 前锋 | 努诺·达科斯塔 (Nuno da Costa) | 巴沙克城 | **7** |
---
### 🇸🇦 沙特阿拉伯队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 穆罕默德·奥韦斯 (Mohammed Al-Owais) | 阿尔乌拉 | **63** |
| 门将 | 纳瓦夫·阿奇迪 (Nawaf Al-Aqidi) | 利雅得胜利 | **22** |
| 门将 | 艾哈迈德·卡萨尔 (Ahmed Al-Kassar) | 卡迪西亚 | **8** |
| 后卫 | 沙特·阿卜杜勒哈米德 (Saud Abdulhamid) | 朗斯 | **53** |
| 后卫 | 哈桑·坦巴蒂 (Hassan Al-Tambakti) | 利雅得新月 | **51** |
| 后卫 | 阿卜杜拉·阿姆里 (Abdulelah Al-Amri) | 利雅得胜利 | **41** |
| 后卫 | 纳瓦夫·布沙尔 (Nawaf Boushal) | 利雅得胜利 | **24** |
| 后卫 | 阿里·拉贾米 (Ali Lajami) | 利雅得新月 | **20** |
| 后卫 | 阿里·迈拉希 (Ali Majrashi) | 吉达国民 | **20** |
| 后卫 | 哈桑·卡迪什 (Hassan Kadesh) | 吉达联合 | **19** |
| 后卫 | 莫泰卜·哈尔比 (Moteb Al-Harbi) | 利雅得新月 | **11** |
| 后卫 | 吉哈德·萨克里 (Jehad Thakri) | 卡迪西亚 | **6** |
| 后卫 | 穆罕默德·阿布沙马特 (Mohammed Abu Al-Shamat) | 卡迪西亚 | **5** |
| 中场 | 萨利姆·多萨里 (Salem Al-Dawsari, 队长) | 利雅得新月 | **108** |
| 中场 | 穆罕默德·卡努 (Mohamed Kanno) | 利雅得新月 | **75** |
| 中场 | 纳赛尔·多萨里 (Nasser Al-Dawsari) | 利雅得新月 | **42** |
| 中场 | 阿卜杜拉·海巴里 (Abdullah Al-Khaibari) | 利雅得胜利 | **38** |
| 中场 | 穆萨卜·朱维尔 (Musab Al-Juwayr) | 卡迪西亚 | **33** |
| 中场 | 艾曼·叶海亚 (Ayman Yahya) | 利雅得胜利 | **25** |
| 中场 | 齐亚德·约哈尼 (Ziyad Al-Johani) | 吉达国民 | **11** |
| 中场 | 苏丹·曼达什 (Sultan Mandash) | 利雅得新月 | **5** |
| 中场 | 阿拉·赫吉 (Alaa Al-Hejji) | NEOM | **1** |
| 前锋 | 菲拉斯·布赖坎 (Firas Al-Buraikan) | 吉达国民 | **69** |
| 前锋 | 萨利赫·谢赫里 (Saleh Al-Shehri) | 吉达联合 | **55** |
| 前锋 | 阿卜杜拉·哈姆丹 (Abdullah Al-Hamdan) | 利雅得胜利 | **48** |
| 前锋 | 哈立德·加纳姆 (Khalid Al-Ghannam) | 达曼协作 | 数据待核实 |
---
### 🇺🇾 乌拉圭队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 费尔南多·穆斯莱拉 (Fernando Muslera) | 拉普拉塔大学生 | **134** |
| 门将 | 塞尔吉奥·罗切特 (Sergio Rochet) | 巴西国际 | **35** |
| 门将 | 圣地亚哥·梅莱 (Santiago Mele) | 蒙特雷 | **8** |
| 后卫 | 何塞·马里亚·希梅内斯 (José María Giménez, 队长) | 马德里竞技 | **99** |
| 后卫 | 罗纳德·阿劳霍 (Ronald Araújo) | 巴塞罗那 | **27** |
| 后卫 | 马蒂亚斯·比尼亚 (Matías Viña) | 河床 | **43** |
| 后卫 | 马蒂亚斯·奥利韦拉 (Mathías Olivera) | 那不勒斯 | **35** |
| 后卫 | 吉列尔莫·瓦雷拉 (Guillermo Varela) | 弗拉门戈 | **28** |
| 后卫 | 塞瓦斯蒂安·卡塞雷斯 (Sebastián Cáceres) | 美洲狮 | **24** |
| 后卫 | 华金·皮克雷斯 (Joaquín Piquerez) | 帕尔梅拉斯 | **19** |
| 后卫 | 圣地亚哥·布埃诺 (Santiago Bueno) | 狼队 | **8** |
| 中场 | 罗德里戈·本坦库尔 (Rodrigo Bentancur) | 热刺 | **74** |
| 中场 | 费德里科·巴尔韦德 (Federico Valverde) | 皇家马德里 | **73** |
| 中场 | 乔治亚·德阿拉斯卡埃塔 (Giorgian de Arrascaeta) | 弗拉门戈 | **60** |
| 中场 | 法昆多·佩利斯特里 (Facundo Pellistri) | 帕纳辛纳科斯 | **39** |
| 中场 | 曼努埃尔·乌加特 (Manuel Ugarte) | 曼联 | **36** |
| 中场 | 尼古拉斯·德拉克鲁斯 (Nicolás de la Cruz) | 弗拉门戈 | **34** |
| 中场 | 布赖恩·罗德里格斯 (Brian Rodríguez) | 美洲狮 | **32** |
| 中场 | 马克西米利亚诺·阿劳霍 (Maximiliano Araújo) | 葡萄牙体育 | **28** |
| 中场 | 阿古斯丁·卡诺比奥 (Agustín Canobbio) | 弗鲁米嫩塞 | **15** |
| 中场 | 埃米利亚诺·马丁内斯 (Emiliano Martínez) | 帕尔梅拉斯 | **10** |
| 中场 | 罗德里戈·萨拉萨尔 (Rodrigo Zalazar) | 布拉加 | **8** |
| 中场 | 胡安·曼努埃尔·萨纳夫里亚 (Juan Manuel Sanabria) | 皇家盐湖城 | **5** |
| 前锋 | 达尔文·努涅斯 (Darwin Núñez) | 利雅得新月 | 数据待核实 |
| 前锋 | 罗德里戈·阿吉雷 (Rodrigo Aguirre) | 老虎队 | 数据待核实 |
| 前锋 | 费德里科·比尼亚斯 (Federico Viñas) | 皇家奥维耶多 | 数据待核实 |
---
### 🇫🇷 法国队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 迈尼昂 (Mike Maignan) | AC米兰 | **38** |
| 门将 | 桑巴 (Brice Samba) | 雷恩 | **4** |
| 门将 | 里塞 (Robin Risser) | 朗斯 | **0** |
| 后卫 | 于帕梅卡诺 (Dayot Upamecano) | 拜仁慕尼黑 | **36** |
| 后卫 | 科纳特 (Ibrahima Konaté) | 利物浦 | **27** |
| 后卫 | 孔德 (Jules Koundé) | 巴塞罗那 | **46** |
| 后卫 | 卢卡斯·埃尔南德斯 (Lucas Hernandez) | 巴黎圣日耳曼 | **41** |
| 后卫 | 迪涅 (Lucas Digne) | 阿斯顿维拉 | **56** |
| 后卫 | 古斯托 (Malo Gusto) | 切尔西 | **9** |
| 后卫 | 特奥·埃尔南德斯 (Théo Hernandez) | 利雅得新月 | **42** |
| 后卫 | 拉克鲁瓦 (Maxence Lacroix) | 水晶宫 | **2** |
| 后卫 | 萨利巴 (William Saliba) | 阿森纳 | **31** |
| 中场 | 拉比奥 (Adrien Rabiot) | AC米兰 | **57** |
| 中场 | 楚阿梅尼 (Aurélien Tchouaméni) | 皇家马德里 | **44** |
| 中场 | 坎特 (N'Golo Kanté) | 费内巴切 | **67** |
| 中场 | 科内 (Manu Koné) | 罗马 | **12** |
| 中场 | 扎伊尔·埃梅里 (Warren Zaïre-Emery) | 巴黎圣日耳曼 | **10** |
| 前锋 | 姆巴佩 (Kylian Mbappé, 队长) | 皇家马德里 | **96** |
| 前锋 | 登贝莱 (Ousmane Dembélé) | 巴黎圣日耳曼 | **58** |
| 前锋 | 奥利塞 (Michael Olise) | 拜仁慕尼黑 | **15** |
| 前锋 | 谢尔基 (Rayan Cherki) | 曼城 | 数据待核实 |
| 前锋 | 杜埃 (Désiré Doué) | 巴黎圣日耳曼 | 数据待核实 |
| 前锋 | 巴尔科拉 (Bradley Barcola) | 巴黎圣日耳曼 | **18** |
| 前锋 | 图拉姆 (Marcus Thuram) | 国际米兰 | **33** |
| 前锋 | 阿克利乌舍 (Maghnes Akliouche) | 摩纳哥 | **7** |
| 前锋 | 马特塔 (Jean-Philippe Mateta) | 水晶宫 | 数据待核实 |
### 🇸🇳 塞内加尔队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 爱德华·门迪 (Édouard Mendy) | 吉达国民 | **56** |
| 门将 | 莫里·迪亚乌 (Mory Diaw) | 勒阿弗尔 | **5** |
| 门将 | 耶万·迪乌夫 (Yehvann Diouf) | 尼斯 | **2** |
| 后卫 | 库利巴利 (Kalidou Koulibaly, 队长) | 利雅得新月 | **102** |
| 后卫 | 迪亚塔 (Krépin Diatta) | 摩纳哥 | **60** |
| 后卫 | 安托万·门迪 (Antoine Mendy) | 尼斯 | **6** |
| 后卫 | 哈吉·迪乌夫 (El Hadji Malick Diouf) | 西汉姆联 | **19** |
| 后卫 | 马马杜·萨尔 (Mamadou Sarr) | 切尔西 | **7** |
| 后卫 | 尼亚凯特 (Moussa Niakhaté) | 里昂 | **30** |
| 后卫 | 塞克 (Abdoulaye Seck) | 海法马卡比 | **22** |
| 后卫 | 雅各布斯 (Ismaïl Jakobs) | 加拉塔萨雷 | **29** |
| 中场 | 伊德里萨·盖耶 (Idrissa Gana Gueye) | 埃弗顿 | **130** |
| 中场 | 帕普·盖耶 (Pape Gueye) | 比利亚雷亚尔 | **41** |
| 中场 | 拉明·卡马拉 (Lamine Camara) | 摩纳哥 | **32** |
| 中场 | 哈比卜·迪亚拉 (Habib Diarra) | 桑德兰 | **20** |
| 中场 | 西斯 (Pathé Ciss) | 巴列卡诺 | **29** |
| 中场 | 帕普·萨尔 (Pape Matar Sarr) | 托特纳姆热刺 | **39** |
| 中场 | 巴拉·恩迪亚耶 (Bara Sapoko Ndiaye) | 拜仁慕尼黑 | **1** |
